date,price,close,high,low,open,volume,r,pattern
2023-11-18 11:00:00,36420.57421875,36538.69921875,36420.57421875,36488.6328125,0,,-0.0013593933382480827,no-pattern
2023-11-18 12:00:00,36469.9296875,36489.0625,36413.6171875,36417.65234375,0,,2.472885109305878e-05,no-pattern
2023-11-18 13:00:00,36447.39453125,36489.96484375,36387.75,36462.328125,0,,0.001620600361757596,no-pattern
2023-11-18 14:00:00,36533.8515625,36549.1484375,36435.51953125,36446.1875,0,,0.003939185345323892,no-pattern
2023-11-18 15:00:00,36684.2421875,36693.40625,36521.65625,36521.65625,0,,0.0039676284472669465,no-pattern
2023-11-18 16:00:00,36688.23828125,36839.28125,36673.9609375,36678.45703125,0,,-0.003593184746696565,no-pattern
2023-11-18 17:00:00,36645.9140625,36707.1484375,36625.55078125,36689.4609375,0,,0.0014319801871938154,no-pattern
2023-11-18 18:00:00,36749.0390625,36759.75,36638.76953125,36643.0546875,0,,0.000714053791726954,no-pattern
2023-11-18 19:00:00,36697.55078125,36786.0078125,36678.5859375,36741.53515625,0,,-0.0018585376517759045,no-pattern
2023-11-18 20:00:00,36623.23828125,36717.703125,36572.9609375,36700.83203125,0,,-0.00228522741468673,no-pattern
2023-11-18 21:00:00,36584.9140625,36633.890625,36559.28515625,36620.6875,0,,-0.0013854354813158665,no-pattern
2023-11-18 22:00:00,36523.4609375,36583.171875,36475.3984375,36566.3046875,0,,0.00017243037018843665,no-pattern
2023-11-18 23:00:00,36580.41796875,36589.48046875,36521.046875,36528.51171875,0,,6.757605391172206e-05,no-pattern
2023-11-19 00:00:00,36496.5390625,36591.953125,36496.5390625,36585.765625,0,,-0.0021942296696515484,no-pattern
2023-11-19 01:00:00,36510.88671875,36511.75,36432.62109375,36491.0,38968320,,0.00020967078767952785,no-pattern
2023-11-19 02:00:00,36479.234375,36519.40625,36432.59765625,36509.71875,12260352,,0.0006401865752412306,no-pattern
2023-11-19 03:00:00,36542.79296875,36542.79296875,36456.63671875,36481.91796875,0,,0.0003740633097670809,no-pattern
2023-11-19 04:00:00,36555.48828125,36556.46484375,36511.94140625,36543.25390625,0,,0.000423698128157568,no-pattern
