conf_i,ext_i,ext_p,type
15666,15665,107403.703125,-1
15671,15669,109543.7890625,1
15672,15671,108536.140625,-1
15682,15679,109181.90625,1
15683,15682,107789.4296875,-1
15736,15728,112110.9765625,1
15742,15739,110432.640625,-1
15747,15742,110687.796875,1
15750,15749,109432.703125,-1
15771,15769,112829.0625,1
15774,15771,110558.9453125,-1
15790,15776,111362.9921875,1
15806,15800,110056.1484375,-1
15853,15843,112537.984375,1
15856,15855,111328.078125,-1
15867,15861,112909.7578125,1
15872,15868,110893.046875,-1
15965,15943,116345.7109375,1
15968,15965,115384.9921875,-1
15996,15982,115990.265625,1
16000,15997,115090.1484375,-1
16005,16002,116113.703125,1
16014,16010,114663.7734375,-1
16055,16051,117178.8125,1
16061,16059,115645.0703125,-1
16098,16084,117581.7109375,1
16116,16112,115175.921875,-1
16164,16131,116021.6171875,1
16175,16174,112426.1796875,-1
16206,16196,113025.890625,1
16210,16208,111676.875,-1
16239,16229,113678.5390625,1
16245,16243,111553.734375,-1
16253,16245,111629.6640625,1
16255,16254,108859.0,-1
16364,16358,114442.0078125,1
16369,16366,112822.703125,-1
16469,16444,122564.96875,1
16473,16471,121654.3046875,-1
16486,16481,124912.828125,1
16493,16492,122840.3515625,-1
16527,16519,125336.8359375,1
16534,16532,123715.4296875,-1
16539,16536,124465.71875,1
16544,16543,120938.1875,-1
16574,16566,123515.9609375,1
16576,16575,121650.609375,-1
16587,16584,122780.203125,1
16590,16589,119892.359375,-1
16611,16596,121696.40625,1
16623,16622,111256.3671875,-1
16628,16625,112168.8671875,1
16629,16628,110451.0078125,-1
16640,16632,112175.4140625,1
16642,16641,110412.15625,-1
16683,16676,115271.1484375,1
16684,16683,114271.984375,-1
16693,16689,115678.5390625,1
16704,16703,110722.8203125,-1
16720,16715,113112.265625,1
16721,16720,112084.0703125,-1
16729,16724,112617.3046875,1
16734,16733,110768.28125,-1
16748,16743,111498.2890625,1
16749,16748,110658.0859375,-1
16755,16752,111417.0,1
16757,16756,108400.109375,-1
16771,16767,108946.328125,1
16775,16774,104606.5078125,-1
16837,16830,109120.171875,1
16839,16838,108049.21875,-1
16860,16851,111149.234375,1
16867,16866,107578.0703125,-1
16879,16876,112841.3984375,1
16886,16885,108065.5390625,-1
16905,16886,108311.5,1
16907,16906,107178.5078125,-1
16929,16926,110357.1484375,1
16930,16929,109570.0859375,-1
16947,16938,111198.8671875,1
16950,16948,110065.1015625,-1
17024,17011,115500.515625,1
17035,17034,113619.484375,-1
17048,17045,115286.1484375,1
17057,17053,112518.09375,-1
17067,17059,113271.375,1
17070,17069,111141.5859375,-1
17076,17073,111407.7890625,1
17077,17076,110066.0,-1
17087,17084,110735.484375,1
17097,17096,106510.9609375,-1
17117,17115,110133.03125,1
17118,17117,108605.5546875,-1
17164,17160,110709.3359375,1
17172,17171,109837.1953125,-1
17175,17172,109835.9921875,1
17184,17183,106909.953125,-1
17188,17184,107743.4296875,1
17189,17188,105724.4609375,-1
17202,17190,106819.5546875,1
17203,17202,104225.2109375,-1
17212,17203,104330.1640625,1
17219,17218,100252.7109375,-1
17252,17239,104011.984375,1
17258,17257,102612.5546875,-1
17264,17258,102043.2421875,1
17266,17265,100860.140625,-1
17277,17273,101973.1640625,1
17282,17281,99573.078125,-1
17293,17290,103698.5234375,1
17294,17293,102617.6953125,-1
17304,17294,102728.140625,1
17310,17308,101678.3046875,-1
17355,17347,106214.484375,1
17357,17355,104893.6796875,-1
17369,17367,106399.75,1
17373,17372,104765.2265625,-1
17378,17375,105120.203125,1
17388,17386,102698.890625,-1
17403,17400,104842.2421875,1
17409,17408,101269.5234375,-1
17428,17420,103382.9765625,1
17434,17433,98051.3515625,-1
17441,17435,99583.7578125,1
17451,17450,95106.296875,-1
17455,17452,96302.703125,1
17456,17455,95020.125,-1
17481,17475,96100.3359375,1
17486,17482,95204.7890625,-1
