conf_i,ext_i,ext_p,type
7155,7152,56510.88671875,1
7156,7155,55754.484375,-1
7178,7169,58179.078125,1
7182,7181,57498.22265625,-1
7219,7214,60453.63671875,1
7233,7225,59734.7109375,-1
7258,7252,60215.875,1
7265,7264,58261.83203125,-1
7275,7269,58852.77734375,1
7277,7276,57594.62109375,-1
7305,7301,60772.0078125,1
7306,7305,59982.42578125,-1
7319,7316,60353.19140625,1
7320,7319,59665.32421875,-1
7354,7351,63530.6796875,1
7359,7358,62773.2578125,-1
7370,7361,63751.57421875,1
7372,7371,62829.48046875,-1
7415,7399,63259.95703125,1
7422,7419,62616.515625,-1
7437,7432,63935.953125,1
7444,7443,63174.90234375,-1
7484,7479,64302.6171875,1
7492,7488,63622.890625,-1
7502,7492,63483.046875,1
7503,7502,62931.53515625,-1
7558,7540,66046.8671875,1
7572,7566,65539.96875,-1
7599,7575,65833.203125,1
7609,7607,63603.4453125,-1
7623,7610,63879.81640625,1
7625,7624,63384.66015625,-1
7635,7628,63918.3828125,1
7643,7642,60790.375,-1
7656,7648,61681.6015625,1
7659,7658,60802.359375,-1
7664,7661,61821.23828125,1
7666,7665,60175.875,-1
7677,7673,61285.125,1
7679,7678,60347.88671875,-1
7720,7712,62288.109375,1
7722,7720,61807.21484375,-1
7736,7727,62214.90234375,1
7739,7738,61721.21875,-1
7775,7766,63662.83203125,1
7779,7778,62861.44921875,-1
7788,7780,63577.40625,1
7790,7789,62227.6640625,-1
7812,7793,62566.984375,1
7814,7813,62122.8359375,-1
7826,7819,62391.828125,1
7828,7827,61769.734375,-1
7832,7828,61746.85546875,1
7835,7834,60394.44921875,-1
7854,7848,60998.56640625,1
7857,7856,59424.828125,-1
7888,7881,62925.62890625,1
7895,7888,62536.9375,-1
7913,7908,63165.92578125,1
7926,7925,62215.28515625,-1
7961,7956,66025.3515625,1
7964,7963,65322.7109375,-1
8010,7999,67801.5078125,1
8014,8012,67116.109375,-1
8064,8046,68656.65625,1
8075,8070,68039.8984375,-1
8109,8102,69085.9453125,1
8118,8116,67236.921875,-1
8134,8122,67671.125,1
8136,8134,66897.8828125,-1
8156,8147,67454.3515625,1
8162,8161,66347.140625,-1
8166,8163,66426.078125,1
8168,8167,65626.9609375,-1
8182,8178,67287.640625,1
8184,8183,66810.171875,-1
8203,8195,68153.8671875,1
8207,8205,67460.25,-1
8213,8211,68205.3125,1
8218,8217,66721.3828125,-1
8321,8311,72688.921875,1
8331,8330,71821.5625,-1
8355,8340,72331.765625,1
8359,8358,70350.8203125,-1
8367,8364,70241.578125,1
8375,8372,69186.578125,-1
8381,8379,70941.2421875,1
8382,8381,69364.046875,-1
8414,8396,69654.328125,1
8417,8416,68149.8515625,-1
8451,8440,69021.03125,1
8453,8452,68358.875,-1
8481,8478,69977.390625,1
8482,8481,69018.0,-1
8493,8491,74298.21875,1
8494,8493,73410.7421875,-1
8513,8506,75766.703125,1
8518,8514,74775.4140625,-1
8531,8529,76409.203125,1
8533,8532,75870.09375,-1
8559,8552,76903.7734375,1
8563,8559,76350.03125,-1
8601,8599,80443.296875,1
8603,8602,79004.671875,-1
8639,8636,89142.8046875,1
8641,8640,86847.4609375,-1
8655,8649,88827.390625,1
8661,8660,86582.65625,-1
8673,8671,92248.828125,1
8676,8675,88626.828125,-1
8692,8689,91135.46875,1
8694,8693,87948.4140625,-1
8698,8696,89240.3046875,1
8699,8698,87597.1484375,-1
8716,8713,89679.9140625,1
8718,8717,88442.03125,-1
